Rank,Song,Artist
169,Voy A Llevarte Pa PR,Bad Bunny
170,Blue,yung kai
171,Tattoo,Tito Double P
172,Poker Face,Lady Gaga
173,Busy Woman,Sabrina Carpenter
174,Perfect,Ed Sheeran
175,We Can't Be Friends (Wait For Your Love),Ariana Grande
176,Por Esos Ojos,Fuerza Regida
177,Dreams,Fleetwood Mac
178,Stargazing,Myles Smith
179,Velda,"Bad Bunny, Omar Courtz & Dei V"
180,Love Somebody,Morgan Wallen
181,The Days,CHRYSTAL
182,Dark Thoughts,Lil Tecca
183,Mi Refe,Beele & Ovy On The Drums
184,Montagem Tomada,MXZI
185,Shape Of You,Ed Sheeran
186,Que Pasaria...,Rauw Alejandro & Bad Bunny
187,"I Love You, I'm Sorry",Gracie Abrams
188,Die For You,The Weeknd & Ariana Grande
189,Feel It,d4vd
190,Ojos Tristes,Selena Gomez & benny blanco
191,Snooze,SZA
192,7 Dias,Gabito Ballesteros & Tito Double P
193,Cruel Summer,Taylor Swift
194,Blinding Lights,The Weeknd
195,Mona Lisa,j-hope
196,Greedy,Tate McRae
197,Steve's Lava Chicken,Jack Black
198,Chihiro,Billie Eilish
199,Numb,Linkin Park
200,Multo,Cup Of Joe
201,Counting Stars,OneRepublic
202,Pal Pal,Afusic
203,Don't Stop Believin',Journey
204,Blue Strips,Jessie Murph
205,Triple Lavada,Esau Ortiz
206,Another Love,Tom Odell
207,M&M,Neton Vega
208,Riptide,Vance Joy
209,Move,Adam Port & Stryv Featuring Malachiii
210,Carry You Home,Alex Warren
211,En Privado,Xavi & Manuel Turizo
212,Something Just Like This,The Chainsmokers & Coldplay
213,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
214,See You Again,"Tyler, The Creator Featuring Kali Uchis"
215,Vita Fer,Los Dareyes de La Sierra X Tito Double P
216,Headphones On,Addison Rae
217,We Are The People,Empire Of The Sun
218,In The End,Linkin Park
219,Squabble Up,Kendrick Lamar
220,Starboy,The Weeknd Featuring Daft Punk
221,Indigo,Sam Barber Featuring Avery Anna
222,I Wanna Be Yours,Arctic Monkeys
223,505,Arctic Monkeys
224,You'll Be In My Heart,NIKI
225,Smells Like Teen Spirit,Nirvana
226,El Mayor de Los Ranas,Victor Valverde X JR Torres
227,Summertime Sadness,Lana Del Rey vs. Cedric Gervais
228,Seven,Jung Kook Featuring Latto
229,Take Me To Church,Hozier
230,Tu Boda,Oscar Maydon & Fuerza Regida
231,Locked Out Of Heaven,Bruno Mars
232,Ain't No Love In Oklahoma,Luke Combs
233,Nadie,Tito Double P
234,Denial Is A River,Doechii
235,Just The Way You Are,Bruno Mars
236,ExtraL,JENNIE & Doechii
237,Khe?,Rauw Alejandro & Romeo Santos
238,30 For 30,SZA With Kendrick Lamar
239,Guess,Charli xcx Featuring Billie Eilish
240,Thunderstruck,AC/DC
241,Levitating,Dua Lipa
242,Mr. Brightside,The Killers
243,Hollywood,Peso Pluma & Estevan Plazola
244,Nice To Meet You,Myles Smith
245,Believer,Imagine Dragons
246,Someone You Loved,Lewis Capaldi
247,I Adore You,HUGEL X Topic X Arash Featuring Daecolm
248,Kusushiki,Mrs. GREEN APPLE
249,Flowers,Miley Cyrus
250,Everybody Wants To Rule The World,Tears For Fears
251,As It Was,Harry Styles
252,Money Trees,Kendrick Lamar Featuring Jay Rock
253,End Of Beginning,Djo
254,Whiplash,aespa
255,Dos Dias,Tito Double P & Peso Pluma
256,Somebody That I Used To Know,Gotye Featuring Kimbra
257,I'm A Little Crazy,Morgan Wallen
258,Good News,Shaboozey
259,Slow It Down,Benson Boone
260,The Giver,Chappell Roan
261,Humble.,Kendrick Lamar
262,A Sky Full Of Stars,Coldplay
263,Sweet Child O' Mine,Guns N' Roses
264,Party 4 U,Charli xcx
265,Stick Season,Noah Kahan
266,The Scientist,Coldplay
267,Rather Lie,Playboi Carti & The Weeknd
268,Bad Romance,Lady Gaga
269,Wheels On The Bus,CoComelon
270,Rosones,Tito Double P
271,Without Me,Eminem
272,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
273,Hot,LE SSERAFIM
274,Feel Good Inc,Gorillaz
275,Bed Chem,Sabrina Carpenter
276,Bohemian Rhapsody,Queen
277,Como Capo,Clave Especial & Fuerza Regida
278,FE!N,Travis Scott Featuring Playboi Carti
279,Billie Jean,Michael Jackson
280,End Of The World,Miley Cyrus
281,Shake It To The Max (FLY),"MOLIY, Silent Addy, Skillibeng & Shenseea"
282,Take On Me,a-ha
283,Twilight!!!,King Gnu
284,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer"
285,Si No Es Contigo,Cris Mj
286,Hotel California,Eagles
287,Push 2 Start,Tyla
288,Closer,The Chainsmokers Featuring Halsey
289,Bring Me To Life,Evanescence Featuring Paul McCoy
290,Unwritten,Natasha Bedingfield
291,Luna,Feid & ATL Jacob
292,Headlock,Imogen Heap
293,Austin,Dasha
294,Somewhere Only We Know,Keane
295,Judas,Lady Gaga
296,Africa,Toto
297,Hard Fought Hallelujah,Brandon Lake
298,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
299,Until I Found You,Stephen Sanchez
300,Something In The Orange,Zach Bryan
