Rank,Song,Artist
67,Backseat Driver,Kane Brown
68,Rather Lie,Playboi Carti & The Weeknd
69,Twilight Zone,Ariana Grande
70,Hands Of Time,Eric Church
71,Money On Money,Young Thug Featuring Future
72,Texas,Blake Shelton
73,Denial Is A River,Doechii
74,House Again,Hudson Westbrook
75,Smile,Morgan Wallen
76,Priceless,Maroon 5 & LISA
77,Like Him,"Tyler, The Creator Featuring Lola Young"
78,Amen,Shaboozey & Jelly Roll
79,Thought It Was Love,Ty Myers
80,EOO,Bad Bunny
81,Whim Whamiee,PLUTO & YKNIECE
82,Feel It,d4vd
83,Whiskey Drink,Jason Aldean
84,Are You Even Real,Teddy Swims & GIVEON
85,Loco,Neton Vega
86,Busy Woman,Sabrina Carpenter
87,The Largest,BigXthaPlug
88,Te Queria Ver,Aleman X Neton Vega
89,Old Phone,Ed Sheeran
90,Fix What You Didn't Break,Nate Smith
91,My World,Chuckyy
92,Gnarly,KATSEYE
93,Morena,Neton Vega & Peso Pluma
94,Holy Smokes,Bailey Zimmerman
95,Me Prometi,Ivan Cornejo
96,BMF,SZA
97,Haunted,Kane Brown With Jelly Roll
98,Steve's Lava Chicken,Jack Black
99,The Days,CHRYSTAL
100,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
101,Luther,Kendrick Lamar & SZA
102,Ordinary,Alex Warren
103,Die With A Smile,Lady Gaga & Bruno Mars
104,Nokia,Drake
105,A Bar Song (Tipsy),Shaboozey
106,Pink Pony Club,Chappell Roan
107,Lose Control,Teddy Swims
108,I'm The Problem,Morgan Wallen
109,Beautiful Things,Benson Boone
110,Anxiety,Doechii
111,All The Way,BigXthaPlug Featuring Bailey Zimmerman
112,Birds Of A Feather,Billie Eilish
113,Just In Case,Morgan Wallen
114,I Had Some Help,Post Malone Featuring Morgan Wallen
115,Mutt,Leon Thomas
116,That's So True,Gracie Abrams
117,Love Somebody,Morgan Wallen
118,Blue Strips,Jessie Murph
119,Espresso,Sabrina Carpenter
120,APT.,ROSE & Bruno Mars
121,Messy,Lola Young
122,Not Like Us,Kendrick Lamar
123,30 For 30,SZA With Kendrick Lamar
124,TV Off,Kendrick Lamar Featuring Lefty Gunplay
125,I Ain't Coming Back,Morgan Wallen & Post Malone
126,No One Noticed,The Marias
127,I Never Lie,Zach Top
128,Squabble Up,Kendrick Lamar
129,Stargazing,Myles Smith
130,Taste,Sabrina Carpenter
131,Bad Dreams,Teddy Swims
132,Sports Car,Tate McRae
133,Sorry I'm Here For Someone Else,Benson Boone
134,Abracadabra,Lady Gaga
135,Timeless,The Weeknd & Playboi Carti
136,What Was That,Lorde
137,Worst Way,Riley Green
138,Good News,Shaboozey
139,Money On Money,Young Thug Featuring Future
140,Mystical Magical,Benson Boone
141,Weren't For The Wind,Ella Langley
142,Sailor Song,Gigi Perez
143,Wildflower,Billie Eilish
144,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
145,Cry For Me,The Weeknd
146,Dark Thoughts,Lil Tecca
147,Damocles,Sleep Token
148,Indigo,Sam Barber Featuring Avery Anna
149,Azizam,Ed Sheeran
150,Back To Friends,sombr
151,Residuals,Chris Brown
152,DTMF,Bad Bunny
153,Love Me Not,Ravyn Lenae
154,Am I Okay?,Megan Moroney
155,I'm A Little Crazy,Morgan Wallen
156,Undressed,sombr
157,Party 4 U,Charli xcx
158,Me Jalo,Fuerza Regida & Grupo Frontera
159,Somebody Loves Me,PARTYNEXTDOOR & Drake
160,Denial Is A River,Doechii
161,Texas,Blake Shelton
162,Your Way's Better,Forrest Frank
163,After All The Bars Are Closed,Thomas Rhett
164,Peekaboo,Kendrick Lamar Featuring AzChike
165,Revolving Door,Tate McRae
166,Twilight Zone,Ariana Grande
167,Fix What You Didn't Break,Nate Smith
168,Baile Inolvidable,Bad Bunny
169,Smile,Morgan Wallen
170,Rather Lie,Playboi Carti & The Weeknd
