Rank,Song,Artist
726,30 For 30,SZA With Kendrick Lamar
727,Mojo Jojo,Playboi Carti
728,Philly,Playboi Carti & Travis Scott
729,Messy,Lola Young
730,Sports Car,Tate McRae
731,Denial Is A River,Doechii
732,Too Sweet,Hozier
733,Fine Shit,Playboi Carti
734,Toxic,Playboi Carti & Skepta
735,Ordinary,Alex Warren
736,Taste,Sabrina Carpenter
737,Abracadabra,Lady Gaga
738,K Pop,Playboi Carti
739,"Good Luck, Babe!",Chappell Roan
740,Bed Chem,Sabrina Carpenter
741,Pop Out,Playboi Carti
742,Stargazing,Myles Smith
743,Radar,Playboi Carti
744,I Never Lie,Zach Top
745,Dark Thoughts,Lil Tecca
746,Trim,Playboi Carti & Future
747,I'm Gonna Love You,Cody Johnson & Carrie Underwood
748,HBA,Playboi Carti
749,Charge Dem Hoes A Fee,"Playboi Carti, Future & Travis Scott"
750,Sailor Song,Gigi Perez
751,DTMF,Bad Bunny
752,Wake Up F1lthy,Playboi Carti & Travis Scott
753,Jumpin,Playboi Carti & Lil Uzi Vert
754,I Seeeeee You Baby Boi,Playboi Carti
755,Crank,Playboi Carti
756,Like Weezy,Playboi Carti
757,Emergence,Sleep Token
758,Twin Trim,Playboi Carti & Lil Uzi Vert
759,Revolving Door,Tate McRae
760,Bad Dreams,Teddy Swims
761,BMF,SZA
762,Residuals,Chris Brown
763,Indigo,Sam Barber Featuring Avery Anna
764,No One Noticed,The Marias
765,Olympian,Playboi Carti
766,Worst Way,Riley Green
767,Wildflower,Billie Eilish
768,Baile Inolvidable,Bad Bunny
769,Munyun,Playboi Carti
770,Sorry I'm Here For Someone Else,Benson Boone
771,We Need All Da Vibes,"Playboi Carti, Young Thug & Ty Dolla $ign"
772,Good News,Shaboozey
773,Cry For Me,The Weeknd
774,Smile,Morgan Wallen
775,OPM Babi,Playboi Carti
776,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
777,Mutt,Leon Thomas
778,Gimme A Hug,Drake
779,Peekaboo,Kendrick Lamar Featuring AzChike
780,Cocaine Nose,Playboi Carti
781,Me Jalo,Fuerza Regida & Grupo Frontera
782,Tweaker,GELO
783,Somebody Loves Me,PARTYNEXTDOOR & Drake
784,Loco,Neton Vega
785,Dis 1 Got It,Playboi Carti
786,Overly,Playboi Carti
787,Busy Woman,Sabrina Carpenter
788,South Atlanta Baby,Playboi Carti
789,Nuevayol,Bad Bunny
790,Heart Of A Woman,Summer Walker
791,Tattoo,Tito Double P
792,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
793,Like Him,"Tyler, The Creator Featuring Lola Young"
794,Burning Down,Alex Warren
795,Weren't For The Wind,Ella Langley
796,Walk,Playboi Carti
797,I Ain't Sayin',Jordan Davis
798,No Pole,Don Toliver
799,Am I Okay?,Megan Moroney
800,Ms. Whitman,Bhad Bhabie
801,Luther,Kendrick Lamar & SZA
802,Die With A Smile,Lady Gaga & Bruno Mars
803,Not Like Us,Kendrick Lamar
804,A Bar Song (Tipsy),Shaboozey
805,TV Off,Kendrick Lamar Featuring Lefty Gunplay
806,APT.,ROSE & Bruno Mars
807,Pink Pony Club,Chappell Roan
808,Nokia,Drake
809,Birds Of A Feather,Billie Eilish
810,Lose Control,Teddy Swims
811,That's So True,Gracie Abrams
812,Beautiful Things,Benson Boone
813,Anxiety,Doechii
814,I Had Some Help,Post Malone Featuring Morgan Wallen
815,Love Somebody,Morgan Wallen
816,Squabble Up,Kendrick Lamar
817,I'm The Problem,Morgan Wallen
818,Espresso,Sabrina Carpenter
819,Abracadabra,Lady Gaga
820,30 For 30,SZA With Kendrick Lamar
821,Timeless,The Weeknd & Playboi Carti
822,Sports Car,Tate McRae
823,Denial Is A River,Doechii
824,Messy,Lola Young
825,Taste,Sabrina Carpenter
826,Too Sweet,Hozier
827,"Good Luck, Babe!",Chappell Roan
828,Stargazing,Myles Smith
829,Who,Jimin
830,Bed Chem,Sabrina Carpenter
831,Revolving Door,Tate McRae
832,Liar,Jelly Roll
833,All The Stars,Kendrick Lamar & SZA
834,I Never Lie,Zach Top
835,DTMF,Bad Bunny
836,High Road,Koe Wetzel & Jessie Murph
837,I'm Gonna Love You,Cody Johnson & Carrie Underwood
838,Sailor Song,Gigi Perez
839,BMF,SZA
840,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
841,No One Noticed,The Marias
842,Indigo,Sam Barber Featuring Avery Anna
843,Ordinary,Alex Warren
844,Baile Inolvidable,Bad Bunny
845,Bad Dreams,Teddy Swims
846,Wildflower,Billie Eilish
847,Whatchu Kno About Me,GloRilla & Sexyy Red
848,Worst Way,Riley Green
849,Residuals,Chris Brown
850,Please Please Please,Sabrina Carpenter
851,Good News,Shaboozey
852,Garden Of Eden,Lady Gaga
853,Gimme A Hug,Drake
854,Smile,Morgan Wallen
855,Peekaboo,Kendrick Lamar Featuring AzChike
856,Cry For Me,The Weeknd
857,Sorry I'm Here For Someone Else,Benson Boone
858,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
859,A N X I E T Y,Sleepy Hallow Featuring Doechii
860,Mutt,Leon Thomas
861,Vanish Into You,Lady Gaga
862,Tweaker,GELO
863,Me Jalo,Fuerza Regida & Grupo Frontera
864,Loco,Neton Vega
865,Somebody Loves Me,PARTYNEXTDOOR & Drake
866,Sweet Dreams,j-hope Featuring Miguel
867,Busy Woman,Sabrina Carpenter
868,Ms. Whitman,Bhad Bhabie
869,How Bad Do U Want Me,Lady Gaga
870,Am I Okay?,Megan Moroney
871,Disease,Lady Gaga
872,Tattoo,Tito Double P
873,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
874,Nuevayol,Bad Bunny
875,Heart Of A Woman,Summer Walker
876,Like Him,"Tyler, The Creator Featuring Lola Young"
877,I Ain't Sayin',Jordan Davis
878,Fat Juicy & Wet,Sexyy Red & Bruno Mars
879,No Pole,Don Toliver
880,Handlebars,JENNIE & Dua Lipa
881,Perfect Celebrity,Lady Gaga
882,Weren't For The Wind,Ella Langley
883,like JENNIE,JENNIE
884,Little Things,Ella Mai
885,Zombieboy,Lady Gaga
886,Burning Down,Alex Warren
887,Proud Of Me,Fridayy & Meek Mill
888,Por Esos Ojos,Fuerza Regida
889,Push 2 Start,Tyla
890,The Largest,BigXthaPlug
891,4x4xU,Lainey Wilson
892,Headlock,Imogen Heap
893,Killah,Lady Gaga Featuring Gesaffelstein
894,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams"
895,LoveDrug,Lady Gaga
896,Voy A Llevarte Pa PR,Bad Bunny
897,Texas,Blake Shelton
898,Tu Boda,Oscar Maydon & Fuerza Regida
899,ExtraL,JENNIE & Doechii
900,Te Queria Ver,Aleman X Neton Vega
901,Luther,Kendrick Lamar & SZA
902,Die With A Smile,Lady Gaga & Bruno Mars
903,Not Like Us,Kendrick Lamar
904,TV Off,Kendrick Lamar Featuring Lefty Gunplay
905,A Bar Song (Tipsy),Shaboozey
906,APT.,ROSE & Bruno Mars
907,Birds Of A Feather,Billie Eilish
908,Pink Pony Club,Chappell Roan
909,Lose Control,Teddy Swims
910,Nokia,Drake
911,That's So True,Gracie Abrams
912,Beautiful Things,Benson Boone
913,Love Somebody,Morgan Wallen
914,Squabble Up,Kendrick Lamar
915,I Had Some Help,Post Malone Featuring Morgan Wallen
916,30 For 30,SZA With Kendrick Lamar
917,I'm The Problem,Morgan Wallen
918,Espresso,Sabrina Carpenter
919,Timeless,The Weeknd & Playboi Carti
920,Messy,Lola Young
921,Sports Car,Tate McRae
922,Denial Is A River,Doechii
923,Taste,Sabrina Carpenter
924,Too Sweet,Hozier
925,Revolving Door,Tate McRae
926,All The Stars,Kendrick Lamar & SZA
927,"Good Luck, Babe!",Chappell Roan
928,Stargazing,Myles Smith
929,Abracadabra,Lady Gaga
930,DTMF,Bad Bunny
931,Liar,Jelly Roll
932,Bed Chem,Sabrina Carpenter
933,High Road,Koe Wetzel & Jessie Murph
934,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
935,Sailor Song,Gigi Perez
936,I Never Lie,Zach Top
937,BMF,SZA
938,Gimme A Hug,Drake
939,I'm Gonna Love You,Cody Johnson & Carrie Underwood
940,No One Noticed,The Marias
941,Who,Jimin
942,Baile Inolvidable,Bad Bunny
943,Please Please Please,Sabrina Carpenter
944,Sorry I'm Here For Someone Else,Benson Boone
945,A N X I E T Y,Sleepy Hallow Featuring Doechii
946,Peekaboo,Kendrick Lamar Featuring AzChike
947,Whatchu Kno About Me,GloRilla & Sexyy Red
948,Wildflower,Billie Eilish
949,Indigo,Sam Barber Featuring Avery Anna
950,Smile,Morgan Wallen
951,Residuals,Chris Brown
952,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
953,Cry For Me,The Weeknd
954,Bad Dreams,Teddy Swims
955,Good News,Shaboozey
956,Ms. Whitman,Bhad Bhabie
957,Tweaker,GELO
958,I Ain't Sayin',Jordan Davis
959,Mutt,Leon Thomas
960,Worst Way,Riley Green
961,Busy Woman,Sabrina Carpenter
962,Somebody Loves Me,PARTYNEXTDOOR & Drake
963,Loco,Neton Vega
964,Ordinary,Alex Warren
965,Me Jalo,Fuerza Regida & Grupo Frontera
966,Nuevayol,Bad Bunny
967,Am I Okay?,Megan Moroney
968,Fat Juicy & Wet,Sexyy Red & Bruno Mars
969,Like Him,"Tyler, The Creator Featuring Lola Young"
970,Heart Of A Woman,Summer Walker
971,Dear God,Tate McRae
972,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams"
973,I Know Love,Tate McRae Featauring The Kid LAROI
974,4x4xU,Lainey Wilson
975,Purple Lace Bra,Tate McRae
976,Miss Possessive,Tate McRae
977,cLOUDs,J. Cole
978,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
979,Por Esos Ojos,Fuerza Regida
980,CN Tower,PARTYNEXTDOOR & Drake
981,Little Things,Ella Mai
982,Backseat Driver,Kane Brown
983,Headlock,Imogen Heap
984,No Pole,Don Toliver
985,Tattoo,Tito Double P
986,Voy A Llevarte Pa PR,Bad Bunny
987,The Largest,BigXthaPlug
988,Weren't For The Wind,Ella Langley
989,Something About You,PARTYNEXTDOOR & Drake
990,Que Pasaria...,Rauw Alejandro & Bad Bunny
991,Burning Down,Alex Warren
992,EOO,Bad Bunny
993,Push 2 Start,Tyla
994,Tu Boda,Oscar Maydon & Fuerza Regida
995,Are You Even Real,Teddy Swims & GIVEON
996,Born Again,LISA Featuring Doja Cat & RAYE
997,Twenties,Giveon
998,Deeper,PARTYNEXTDOOR
999,Holy Smokes,Bailey Zimmerman
1000,7 Dias,Gabito Ballesteros & Tito Double P
1001,Luther,Kendrick Lamar & SZA
1002,Die With A Smile,Lady Gaga & Bruno Mars
1003,Not Like Us,Kendrick Lamar
1004,TV Off,Kendrick Lamar Featuring Lefty Gunplay
1005,A Bar Song (Tipsy),Shaboozey
1006,APT.,ROSE & Bruno Mars
1007,Birds Of A Feather,Billie Eilish
1008,Pink Pony Club,Chappell Roan
1009,Lose Control,Teddy Swims
1010,Squabble Up,Kendrick Lamar
1011,Nokia,Drake
1012,Beautiful Things,Benson Boone
1013,That's So True,Gracie Abrams
1014,Love Somebody,Morgan Wallen
1015,30 For 30,SZA With Kendrick Lamar
1016,Sports Car,Tate McRae
1017,I Had Some Help,Post Malone Featuring Morgan Wallen
1018,Espresso,Sabrina Carpenter
1019,I'm The Problem,Morgan Wallen
1020,Timeless,The Weeknd & Playboi Carti
1021,Messy,Lola Young
1022,Revolving Door,Tate McRae
1023,All The Stars,Kendrick Lamar & SZA
1024,Taste,Sabrina Carpenter
1025,Denial Is A River,Doechii
1026,Too Sweet,Hozier
1027,"Good Luck, Babe!",Chappell Roan
1028,Gimme A Hug,Drake
1029,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
1030,DTMF,Bad Bunny
1031,Abracadabra,Lady Gaga
1032,Stargazing,Myles Smith
1033,Who,Jimin
1034,Bed Chem,Sabrina Carpenter
1035,Liar,Jelly Roll
1036,Please Please Please,Sabrina Carpenter
1037,Peekaboo,Kendrick Lamar Featuring AzChike
1038,Sailor Song,Gigi Perez
1039,Baile Inolvidable,Bad Bunny
1040,High Road,Koe Wetzel & Jessie Murph
1041,No One Noticed,The Marias
1042,BMF,SZA
1043,I Know Love,Tate McRae Featauring The Kid LAROI
1044,Dear God,Tate McRae
1045,Wildflower,Billie Eilish
1046,I Never Lie,Zach Top
1047,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
1048,Smile,Morgan Wallen
1049,Whatchu Kno About Me,GloRilla & Sexyy Red
1050,Cry For Me,The Weeknd
1051,I'm Gonna Love You,Cody Johnson & Carrie Underwood
1052,Busy Woman,Sabrina Carpenter
1053,Purple Lace Bra,Tate McRae
1054,Miss Possessive,Tate McRae
1055,Indigo,Sam Barber Featuring Avery Anna
1056,Residuals,Chris Brown
1057,Tweaker,GELO
1058,Call Me When You Break Up,"Selena Gomez, benny blanco & Gracie Abrams"
1059,Worst Way,Riley Green
1060,CN Tower,PARTYNEXTDOOR & Drake
1061,Somebody Loves Me,PARTYNEXTDOOR & Drake
1062,Bad Dreams,Teddy Swims
1063,Good News,Shaboozey
1064,bloodonmyhands,Tate McRae Featuring Flo Milli
1065,I Ain't Sayin',Jordan Davis
1066,Loco,Neton Vega
1067,Mutt,Leon Thomas
1068,Nuevayol,Bad Bunny
1069,cLOUDs,J. Cole
1070,Fat Juicy & Wet,Sexyy Red & Bruno Mars
1071,Ordinary,Alex Warren
1072,Something About You,PARTYNEXTDOOR & Drake
1073,Like Him,"Tyler, The Creator Featuring Lola Young"
1074,Signs,Tate McRae
1075,ExtraL,JENNIE & Doechii
1076,2 Hands,Tate McRae
1077,4x4xU,Lainey Wilson
1078,Deeper,PARTYNEXTDOOR
1079,Am I Okay?,Megan Moroney
1080,Heart Of A Woman,Summer Walker
1081,Me Jalo,Fuerza Regida & Grupo Frontera
1082,Headlock,Imogen Heap
1083,LV Bag,"Don Toliver, j-hope, Pharrell Williams & Speedy"
1084,Voy A Llevarte Pa PR,Bad Bunny
1085,Por Esos Ojos,Fuerza Regida
1086,Moth Balls,PARTYNEXTDOOR & Drake
1087,Raining In Houston,Drake
1088,The Largest,BigXthaPlug
1089,Little Things,Ella Mai
1090,Like I Do,Tate McRae
1091,Spider-Man Superman,PARTYNEXTDOOR & Drake
1092,EOO,Bad Bunny
1093,Backseat Driver,Kane Brown
1094,Pimmie's Dilemma,"Pimmie, PARTYNEXTDOOR & Drake"
1095,Hey Now,Kendrick Lamar Featuring Dody6
1096,No Pole,Don Toliver
1097,Small Town Fame,Drake
1098,Que Pasaria...,Rauw Alejandro & Bad Bunny
1099,Greenlight,Tate McRae
1100,Weren't For The Wind,Ella Langley
1101,Luther,Kendrick Lamar & SZA
1102,Not Like Us,Kendrick Lamar
1103,Die With A Smile,Lady Gaga & Bruno Mars
1104,TV Off,Kendrick Lamar Featuring Lefty Gunplay
1105,Squabble Up,Kendrick Lamar
1106,Gimme A Hug,Drake
1107,APT.,ROSE & Bruno Mars
1108,Birds Of A Feather,Billie Eilish
1109,A Bar Song (Tipsy),Shaboozey
1110,Nokia,Drake
1111,Pink Pony Club,Chappell Roan
1112,Lose Control,Teddy Swims
1113,Beautiful Things,Benson Boone
1114,30 For 30,SZA With Kendrick Lamar
1115,All The Stars,Kendrick Lamar & SZA
1116,That's So True,Gracie Abrams
1117,Espresso,Sabrina Carpenter
1118,CN Tower,PARTYNEXTDOOR & Drake
1119,Love Somebody,Morgan Wallen
1120,I Had Some Help,Post Malone Featuring Morgan Wallen
1121,Die Trying,"PARTYNEXTDOOR, Drake & Yebba"
1122,Taste,Sabrina Carpenter
1123,I'm The Problem,Morgan Wallen
1124,Timeless,The Weeknd & Playboi Carti
1125,Please Please Please,Sabrina Carpenter
1126,Something About You,PARTYNEXTDOOR & Drake
1127,Busy Woman,Sabrina Carpenter
1128,Messy,Lola Young
1129,Moth Balls,PARTYNEXTDOOR & Drake
1130,Somebody Loves Me,PARTYNEXTDOOR & Drake
1131,Deeper,PARTYNEXTDOOR
1132,Denial Is A River,Doechii
1133,Abracadabra,Lady Gaga
1134,Too Sweet,Hozier
1135,Spider-Man Superman,PARTYNEXTDOOR & Drake
1136,"Good Luck, Babe!",Chappell Roan
1137,Crying In Chanel,Drake
1138,Peekaboo,Kendrick Lamar Featuring AzChike
1139,Bed Chem,Sabrina Carpenter
1140,Small Town Fame,Drake
1141,Stargazing,Myles Smith
1142,DTMF,Bad Bunny
1143,Raining In Houston,Drake
1144,Who,Jimin
1145,Pimmie's Dilemma,"Pimmie, PARTYNEXTDOOR & Drake"
1146,High Road,Koe Wetzel & Jessie Murph
1147,Brian Steel,Drake
1148,Wildflower,Billie Eilish
1149,BMF,SZA
1150,Baile Inolvidable,Bad Bunny
1151,Liar,Jelly Roll
1152,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
1153,Sailor Song,Gigi Perez
1154,Cry For Me,The Weeknd
1155,No One Noticed,The Marias
1156,Whatchu Kno About Me,GloRilla & Sexyy Red
1157,Sports Car,Tate McRae
1158,Smile,Morgan Wallen
1159,Tweaker,GELO
1160,Lasers,PARTYNEXTDOOR & Drake
1161,I Never Lie,Zach Top
1162,I'm Gonna Love You,Cody Johnson & Carrie Underwood
1163,Meet Your Padre,"PARTYNEXTDOOR, Drake & Chino Pacas"
1164,Residuals,Chris Brown
1165,Indigo,Sam Barber Featuring Avery Anna
1166,Celibacy,PARTYNEXTDOOR & Drake
1167,15 Minutes,Sabrina Carpenter
1168,4x4xU,Lainey Wilson
1169,Bad Dreams,Teddy Swims
1170,Greedy,PARTYNEXTDOOR & Drake
1171,Fat Juicy & Wet,Sexyy Red & Bruno Mars
1172,Nuevayol,Bad Bunny
1173,When He's Gone,PARTYNEXTDOOR & Drake
1174,OMW,PARTYNEXTDOOR & Drake
1175,Good News,Shaboozey
1176,Like Him,"Tyler, The Creator Featuring Lola Young"
1177,Loco,Neton Vega
1178,Worst Way,Riley Green
1179,I Ain't Sayin',Jordan Davis
1180,Ordinary,Alex Warren
1181,Hey Now,Kendrick Lamar Featuring Dody6
1182,Guy For That,Post Malone Featuring Luke Combs
1183,Glorious,PARTYNEXTDOOR & Drake
1184,Couldn't Make It Any Harder,Sabrina Carpenter
1185,Por Esos Ojos,Fuerza Regida
1186,Voy A Llevarte Pa PR,Bad Bunny
1187,Bad Reviews,Sabrina Carpenter
1188,Am I Okay?,Megan Moroney
1189,Heart Of A Woman,Summer Walker
1190,Twenties,Giveon
1191,EOO,Bad Bunny
1192,Push 2 Start,Tyla
1193,Que Pasaria...,Rauw Alejandro & Bad Bunny
1194,The Largest,BigXthaPlug
1195,Tu Boda,Oscar Maydon & Fuerza Regida
1196,4X4,Travis Scott
1197,Mutt,Leon Thomas
1198,No Pole,Don Toliver
1199,Velda,"Bad Bunny, Omar Courtz & Dei V"
1200,Juno,Sabrina Carpenter
1201,Not Like Us,Kendrick Lamar
1202,Luther,Kendrick Lamar & SZA
1203,TV Off,Kendrick Lamar Featuring Lefty Gunplay
1204,Die With A Smile,Lady Gaga & Bruno Mars
1205,Squabble Up,Kendrick Lamar
1206,Birds Of A Feather,Billie Eilish
1207,APT.,ROSE & Bruno Mars
1208,A Bar Song (Tipsy),Shaboozey
1209,Pink Pony Club,Chappell Roan
1210,30 For 30,SZA With Kendrick Lamar
1211,Beautiful Things,Benson Boone
1212,Lose Control,Teddy Swims
1213,Abracadabra,Lady Gaga
1214,All The Stars,Kendrick Lamar & SZA
1215,That's So True,Gracie Abrams
1216,Timeless,The Weeknd & Playboi Carti
1217,Love Somebody,Morgan Wallen
1218,Espresso,Sabrina Carpenter
1219,I'm The Problem,Morgan Wallen
1220,I Had Some Help,Post Malone Featuring Morgan Wallen
1221,Denial Is A River,Doechii
1222,Messy,Lola Young
1223,"Good Luck, Babe!",Chappell Roan
1224,Taste,Sabrina Carpenter
1225,DTMF,Bad Bunny
1226,Too Sweet,Hozier
1227,Cry For Me,The Weeknd
1228,Peekaboo,Kendrick Lamar Featuring AzChike
1229,Wildflower,Billie Eilish
1230,Stargazing,Myles Smith
1231,Tweaker,GELO
1232,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
1233,Humble.,Kendrick Lamar
1234,BMF,SZA
1235,High Road,Koe Wetzel & Jessie Murph
1236,Baile Inolvidable,Bad Bunny
1237,Sailor Song,Gigi Perez
1238,Smile,Morgan Wallen
1239,Bed Chem,Sabrina Carpenter
1240,Who,Jimin
1241,Sports Car,Tate McRae
1242,Liar,Jelly Roll
1243,No One Noticed,The Marias
1244,Whatchu Kno About Me,GloRilla & Sexyy Red
1245,Like That,"Future, Metro Boomin & Kendrick Lamar"
1246,Fat Juicy & Wet,Sexyy Red & Bruno Mars
1247,Please Please Please,Sabrina Carpenter
1248,Nuevayol,Bad Bunny
1249,I Never Lie,Zach Top
1250,4x4xU,Lainey Wilson
1251,I'm Gonna Love You,Cody Johnson & Carrie Underwood
1252,Loco,Neton Vega
1253,Indigo,Sam Barber Featuring Avery Anna
1254,Residuals,Chris Brown
1255,Twenties,Giveon
1256,Hey Now,Kendrick Lamar Featuring Dody6
1257,Good News,Shaboozey
1258,Like Him,"Tyler, The Creator Featuring Lola Young"
1259,Bad Dreams,Teddy Swims
1260,Voy A Llevarte Pa PR,Bad Bunny
1261,Ordinary,Alex Warren
1262,I Ain't Sayin',Jordan Davis
1263,Hard Fought Hallelujah,Brandon Lake X Jelly Roll
1264,4X4,Travis Scott
1265,EOO,Bad Bunny
1266,Am I Okay?,Megan Moroney
1267,Guy For That,Post Malone Featuring Luke Combs
1268,Born Again,LISA Featuring Doja Cat & RAYE
1269,Que Pasaria...,Rauw Alejandro & Bad Bunny
1270,Velda,"Bad Bunny, Omar Courtz & Dei V"
1271,Heart Of A Woman,Summer Walker
1272,Diet Pepsi,Addison Rae
1273,Nissan Altima,Doechii
1274,Sao Paulo,The Weeknd & Anitta
1275,Tu Boda,Oscar Maydon & Fuerza Regida
1276,Burning Down,Alex Warren
1277,Wacced Out Murals,Kendrick Lamar
1278,The Largest,BigXthaPlug
1279,No Pole,Don Toliver
1280,Euphoria,Kendrick Lamar
1281,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch"
1282,El Club,Bad Bunny
1283,Headlock,Imogen Heap
1284,Backseat Driver,Kane Brown
1285,Are You Even Real,Teddy Swims & GIVEON
1286,Baptized In Fear,The Weeknd
1287,Worst Way,Riley Green
1288,Guess,Charli xcx Featuring Billie Eilish
1289,Khe?,Rauw Alejandro & Romeo Santos
1290,Mutt,Leon Thomas
1291,Nadie,Tito Double P
1292,Forever Young,"David Guetta, Alphaville & Ava Max"
1293,The Greatest,Billie Eilish
1294,Open Hearts,The Weeknd
1295,Haunted,Kane Brown With Jelly Roll
1296,Push 2 Start,Tyla
1297,Rosones,Tito Double P
1298,Weren't For The Wind,Ella Langley
1299,The Days,CHRYSTAL
1300,Weltita,Bad Bunny & Chuwi
1301,Die With A Smile,Lady Gaga & Bruno Mars
1302,I'm The Problem,Morgan Wallen
1303,Luther,Kendrick Lamar & SZA
1304,Birds Of A Feather,Billie Eilish
1305,A Bar Song (Tipsy),Shaboozey
1306,APT.,ROSE & Bruno Mars
1307,Timeless,The Weeknd & Playboi Carti
1308,Lose Control,Teddy Swims
1309,Beautiful Things,Benson Boone
1310,TV Off,Kendrick Lamar Featuring Lefty Gunplay
1311,Love Somebody,Morgan Wallen
1312,Cry For Me,The Weeknd
1313,That's So True,Gracie Abrams
1314,Espresso,Sabrina Carpenter
1315,Not Like Us,Kendrick Lamar
1316,I Had Some Help,Post Malone Featuring Morgan Wallen
1317,DTMF,Bad Bunny
1318,Pink Pony Club,Chappell Roan
1319,Messy,Lola Young
1320,Squabble Up,Kendrick Lamar
1321,Taste,Sabrina Carpenter
1322,30 For 30,SZA With Kendrick Lamar
1323,"Good Luck, Babe!",Chappell Roan
1324,Too Sweet,Hozier
1325,Stargazing,Myles Smith
1326,Baile Inolvidable,Bad Bunny
1327,Denial Is A River,Doechii
1328,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
1329,Abracadabra,Lady Gaga
1330,Smile,Morgan Wallen
1331,High Road,Koe Wetzel & Jessie Murph
1332,Wildflower,Billie Eilish
1333,Sports Car,Tate McRae
1334,Fat Juicy & Wet,Sexyy Red & Bruno Mars
1335,Sailor Song,Gigi Perez
1336,Who,Jimin
1337,Nuevayol,Bad Bunny
1338,Bed Chem,Sabrina Carpenter
1339,Whatchu Kno About Me,GloRilla & Sexyy Red
1340,No One Noticed,The Marias
1341,Again,Fetty Wap
1342,BMF,SZA
1343,Sao Paulo,The Weeknd & Anitta
1344,Liar,Jelly Roll
1345,Wake Me Up,The Weeknd & Justice
1346,Baptized In Fear,The Weeknd
1347,Please Please Please,Sabrina Carpenter
1348,Open Hearts,The Weeknd
1349,Loco,Neton Vega
1350,I Never Lie,Zach Top
1351,Tweaker,GELO
1352,Residuals,Chris Brown
1353,Reflections Laughing,"The Weeknd, Travis Scott & Florence + The Machine"
1354,4x4xU,Lainey Wilson
1355,Voy A Llevarte Pa PR,Bad Bunny
1356,Indigo,Sam Barber Featuring Avery Anna
1357,4X4,Travis Scott
1358,I'm Gonna Love You,Cody Johnson & Carrie Underwood
1359,EOO,Bad Bunny
1360,Enjoy The Show,The Weeknd & Future
1361,Bad Dreams,Teddy Swims
1362,Like Him,"Tyler, The Creator Featuring Lola Young"
1363,Good News,Shaboozey
1364,Think I'm In Love With You,Chris Stapleton
1365,Niagara Falls,The Weeknd
1366,I Ain't Sayin',Jordan Davis
1367,Velda,"Bad Bunny, Omar Courtz & Dei V"
1368,The Abyss,The Weeknd & Lana Del Rey
1369,Take Me Back To LA,The Weeknd
1370,El Club,Bad Bunny
1371,Given Up On Me,The Weeknd
1372,Am I Okay?,Megan Moroney
1373,Guy For That,Post Malone Featuring Luke Combs
1374,Opening Night,The Weeknd
1375,Diet Pepsi,Addison Rae
1376,Que Pasaria...,Rauw Alejandro & Bad Bunny
1377,Tu Boda,Oscar Maydon & Fuerza Regida
1378,Are You Even Real,Teddy Swims & GIVEON
1379,Heart Of A Woman,Summer Walker
1380,Blue Jean Baby,Zach Bryan
1381,Peekaboo,Kendrick Lamar Featuring AzChike
1382,I Can't Wait To Get There,The Weeknd
1383,The Largest,BigXthaPlug
1384,7 Dias,Gabito Ballesteros & Tito Double P
1385,Haunted,Kane Brown With Jelly Roll
1386,No Pole,Don Toliver
1387,Weltita,Bad Bunny & Chuwi
1388,Weren't For The Wind,Ella Langley
1389,Help Me,Real Boston Richey
1390,Headlock,Imogen Heap
1391,Hey Now,Kendrick Lamar Featuring Dody6
1392,Nissan Altima,Doechii
1393,Kloufrens,Bad Bunny
1394,Perfumito Nuevo,Bad Bunny & RaiNao
1395,The Days,CHRYSTAL
1396,Love Hangover,JENNIE & Dominic Fike
1397,Rosones,Tito Double P
1398,Nadie,Tito Double P
1399,Forever Young,"David Guetta, Alphaville & Ava Max"
1400,Worst Way,Riley Green
